orfID	geneID	geneSym	geneType	chrom	strand	start	end	orf.len	trans.len	type	start.codon	len.fdr	pfam	tmhmm	phylocsf	fdr	cons	domain	PepScore
ENST00000000233.10:chr7:+|6|1032:89:632|canonical|ATG	ENSG00000004059.11	ARF5	protein_coding	chr7	+	127588498	127591299	543	1032	canonical	ATG	0.00017	1	0	6.029	3.76955107862173	3.03832165576688	1	0.999994183217832
ENST00000000412.8:chr12:-|13|2450:160:994|canonical|ATG	ENSG00000003056.8	M6PR	protein_coding	chr12	-	8941817	8946404	834	2450	canonical	ATG	0.00022	1	1	5.6047	3.65757731917779	3.19287580999901	1	0.999991803968186
ENST00000000442.11:chr11:+|2|2274:36:81|uORF|ATG	ENSG00000173153.17	ESRRA	protein_coding	chr11	+	64305558	64305603	45	2274	uORF	ATG	0.47338	0	0	0.6427	0.324790094681381	1.0269620360548	0	0.0449069974179994
ENST00000001008.6:chr12:+|7|3715:171:1551|canonical|ATG	ENSG00000004478.8	FKBP4	protein_coding	chr12	+	2795139	2803258	1380	3715	canonical	ATG	0	1	0	5.7166	4	3.42006075909754	1	0.999997782078929
ENST00000001146.7:chr2:-|1|4556:29:1568|canonical|ATG	ENSG00000003137.9	CYP26B1	protein_coding	chr2	-	72132226	72147834	1539	4556	canonical	ATG	0	1	0	6.9512	4	3.55229892100019	1	0.999997887796381
ENST00000001146.7:chr2:-|27|4556:267:309|internal|ATG	ENSG00000003137.9	CYP26B1	protein_coding	chr2	-	72144137	72144179	42	4556	iORF	ATG	0.5146	0	0	-6.4627	0.288530218125672	-1.96131571147309	0	0.0135145589207556
ENST00000001146.7:chr2:-|307|4556:3225:3318|polycistronic|ATG	ENSG00000003137.9	CYP26B1	protein_coding	chr2	-	72130476	72130569	93	4556	dORF	ATG	0.21099	0	0	-8.9372	0.675738127866931	-2.44412789755838	0	0.0437078930773818
ENST00000002125.9:chr2:+|3|2184:49:1375|canonical|ATG	ENSG00000003509.16	NDUFAF7	protein_coding	chr2	+	37231705	37248350	1326	2184	canonical	ATG	0.00017	1	0	4.8335	3.76955107862173	3.32988722736957	1	0.999994777031873
ENST00000002165.11:chr6:-|30|2385:343:358|internal|ATG	ENSG00000001036.14	FUCA2	protein_coding	chr6	-	143507377	143507392	15	2385	iORF	ATG	0.82428	0	0	-9.5892	0.0839252375759414	-1.68971720586522	0	0.00723940443029822
ENST00000002165.11:chr6:-|4|2385:87:1491|canonical|ATG	ENSG00000001036.14	FUCA2	protein_coding	chr6	-	143495706	143511634	1404	2385	canonical	ATG	0	1	0	3.9349	4	3.26541532201109	1	0.9999976517172
ENST00000002501.11:chr16:-|2|2056:10:157|overlap.uORF|ATG	ENSG00000003249.15	DBNDD1	protein_coding	chr16	-	90009420	90019447	147	2056	ouORF	ATG	0.08052	0	0	-5.0904	1.09409623378338	-2.39868565982959	0	0.171601566386931
ENST00000002501.11:chr16:-|9|2056:116:593|canonical|ATG	ENSG00000003249.15	DBNDD1	protein_coding	chr16	-	90006334	90019341	477	2056	canonical	ATG	9e-04	1	0	5.5023	3.04575749056068	2.94243751915855	1	0.999920036047972
ENST00000002596.6:chr4:-|12|7160:137:200|uORF|ATG	ENSG00000002587.10	HS3ST1	protein_coding	chr4	-	11400110	11428758	63	7160	uORF	ATG	0.35595	0	0	-3.1245	0.44861100272698	-1.82356877248221	0	0.0248998791066822
ENST00000002596.6:chr4:-|18|7160:219:231|uORF|ATG	ENSG00000002587.10	HS3ST1	protein_coding	chr4	-	11400079	11400091	12	7160	uORF	ATG	0.88963	0	0	-5.7915	0.0507905802867747	-1.38320477114865	0	0.00720241809238749
ENST00000002596.6:chr4:-|23|7160:259:286|uORF|ATG	ENSG00000002587.10	HS3ST1	protein_coding	chr4	-	11400024	11400051	27	7160	uORF	ATG	0.67954	0	0	-7.8703	0.167784974151523	-1.85632219071373	0	0.00916711603096031
